Model,Split,Class,Box(P,R,mAP50,mAP50-95)
yolov8n.pt,val,all,0.7821330884149411,0.705006105006105,0.7984547271381262,0.4818148414106561
yolov8n.pt,val,apple,0.7821330884149411,0.705006105006105,0.7984547271381262,0.4818148414106561
yolov8n.pt,test,all,0.7821330884149411,0.705006105006105,0.7984547271381262,0.4818148414106561
yolov8n.pt,test,apple,0.7821330884149411,0.705006105006105,0.7984547271381262,0.4818148414106561
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,train,all,0.7261174584038467,0.5962772703513444,0.6851714275963185,0.3716422017952207
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,train,apple,0.7261174584038467,0.5962772703513444,0.6851714275963185,0.3716422017952207
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,val,all,0.7249036584469161,0.5972323972323972,0.685461412617885,0.3710527234916951
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,val,apple,0.7249036584469161,0.5972323972323972,0.685461412617885,0.3710527234916951
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,test,all,0.7249036584469161,0.5972323972323972,0.685461412617885,0.3710527234916951
ultralytics/ultralytics/cfg/models/v8/yolov8-p2.yaml,test,apple,0.7249036584469161,0.5972323972323972,0.685461412617885,0.3710527234916951
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,train,all,0.7625111139068453,0.6614848059292503,0.7434089957015144,0.4146014196674382
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,train,apple,0.7625111139068453,0.6614848059292503,0.7434089957015144,0.4146014196674382
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,val,all,0.7640059217114209,0.6622362475931605,0.7446023681361055,0.414540163192514
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,val,apple,0.7640059217114209,0.6622362475931605,0.7446023681361055,0.414540163192514
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,test,all,0.7640059217114209,0.6622362475931605,0.7446023681361055,0.414540163192514
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,test,apple,0.7640059217114209,0.6622362475931605,0.7446023681361055,0.414540163192514
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,train,all,0.7401925153701119,0.6343508343508344,0.7193716889358713,0.3898146090841871
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,train,apple,0.7401925153701119,0.6343508343508344,0.7193716889358713,0.3898146090841871
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,val,all,0.7401774756834909,0.6349175770881197,0.719644532558805,0.3896546069892989
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,val,apple,0.7401774756834909,0.6349175770881197,0.719644532558805,0.3896546069892989
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,test,all,0.7401774756834909,0.6349175770881197,0.719644532558805,0.3896546069892989
ultralytics/ultralytics/cfg/models/v8/yolov8n-p2.yaml,test,apple,0.7401774756834909,0.6349175770881197,0.719644532558805,0.3896546069892989
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,train,all,0.7580508291870481,0.6578754578754579,0.7393955125823708,0.4120535559070547
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,train,apple,0.7580508291870481,0.6578754578754579,0.7393955125823708,0.4120535559070547
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,val,all,0.7562826153127015,0.6595848595848596,0.7403785600370163,0.4130347183549259
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,val,apple,0.7562826153127015,0.6595848595848596,0.7403785600370163,0.4130347183549259
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,test,all,0.7562826153127015,0.6595848595848596,0.7403785600370163,0.4130347183549259
ultralytics/ultralytics/cfg/models/v8/yolov8s-p2.yaml,test,apple,0.7562826153127015,0.6595848595848596,0.7403785600370163,0.4130347183549259
ultralytics/ultralytics/cfg/models/v8/yolov8m-p2.yaml,train,all,0.7769094453044884,0.6772206747515389,0.7684537695492272,0.4403097472952398
ultralytics/ultralytics/cfg/models/v8/yolov8m-p2.yaml,train,apple,0.7769094453044884,0.6772206747515389,0.7684537695492272,0.4403097472952398
ultralytics/ultralytics/cfg/models/v8/yolov8m-p2.yaml,val,all,0.776535391408176,0.6783068783068783,0.7687511696349094,0.4408052062794388
ultralytics/ultralytics/cfg/models/v8/yolov8m-p2.yaml,val,apple,0.776535391408176,0.6783068783068783,0.7687511696349094,0.4408052062794388
ultralytics/ultralytics/cfg/models/v8/yolov8m-p2.yaml,test,all,0.776535391408176,0.6783068783068783,0.7687511696349094,0.4408052062794388
